,Dem_age,Dem_gender,Country,Scale_PSS10_UCLA_1,Scale_PSS10_UCLA_2,Scale_PSS10_UCLA_3,Scale_PSS10_UCLA_4,Scale_PSS10_UCLA_5,Scale_PSS10_UCLA_6,Scale_PSS10_UCLA_7,Scale_PSS10_UCLA_8,Scale_PSS10_UCLA_9,Scale_PSS10_UCLA_10,Scale_Lon_1,Scale_Lon_2,Scale_Lon_3,OECD_insititutions_1,OECD_insititutions_2,OECD_insititutions_3,OECD_insititutions_4,OECD_insititutions_5,OECD_insititutions_6,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6,PSS10_avg,Lon_avg,SPS_avg
75644,48,Female,United States,2,2,2,4,4,2,4,4,2,2,2,2,2,4,6,5,7,7,2,4,4,4,5,5,6,5,5,2,2,4,2,2,4
75683,52,Female,United States,1,3,2,5,4,2,4,4,3,1,1,1,3,3,7,7,7,7,5,5,6,5,5,5,5,6,6,1,2,5,1.9,1.666667,4.6
75700,59,Female,United States,2,3,3,4,2,2,3,3,3,3,2,3,3,7,7,7,7,5,7,5,5,5,5,5,6,6,6,5,2,1,2.8,2.666667,5.1
75727,28,Female,United States,2,2,5,5,3,2,4,4,2,2,3,3,5,1,7,5,1,7,2,5,5,5,5,5,6,5,4,3,1,1,2.3,3.666667,6
75740,37,Male,United States,2,4,3,5,5,1,2,5,3,1,1,1,1,2,2,5,2,5,0,3,4,5,6,6,6,6,6,1,1,6,2.1,1,5.2
75751,31,Female,United States,2,4,5,3,2,4,4,2,3,4,4,2,5,1,2,2,1,3,NA,5,6,5,6,6,5,5,5,4,4,4,3.5,3.666667,5.1
75840,44,Male,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75864,24,Female,United States,4,3,5,2,1,4,3,2,5,4,3,3,4,4,5,4,5,8,4,5,6,6,6,5,5,5,5,4,2,1,4.1,3.333333,4.9
75867,68,Female,United States,2,2,3,5,5,2,5,5,1,2,3,2,3,3,7,8,9,10,1,6,6,6,6,6,5,5,6,1,3,3,1.6,2.666667,5.8
75916,57,Male,United States,1,2,2,5,2,1,5,4,1,2,3,2,3,3,5,7,6,7,1,6,6,5,6,6,6,5,5,1,2,4,1.7,2.666667,5.3
75932,28,Female,United States,1,3,3,3,4,3,3,3,2,2,2,1,3,4,4,4,2,8,4,4,5,4,6,6,6,5,6,2,3,3,2.5,2,4.8
75933,37,Female,United States,3,2,2,5,4,3,4,4,2,2,2,2,3,5,4,6,6,8,4,4,4,4,4,4,3,5,5,2,3,1,2.1,2.333333,5.6
76022,50,Male,United States,2,2,3,5,4,1,5,5,2,2,1,2,3,4,5,6,7,6,5,5,5,5,5,5,5,5,5,2,3,5,1.7,2,2.8
76055,29,Male,United States,3,2,3,1,4,1,4,3,5,2,2,1,1,1,2,5,7,7,0,4,6,6,6,6,6,6,6,1,2,5,2.8,1.333333,6
76063,35,Male,United States,4,2,4,3,4,3,4,4,3,1,4,2,3,3,5,4,3,8,7,3,6,4,3,4,5,6,6,4,5,4,2.6,3,5.5
76068,41,Female,United States,2,2,3,4,3,2,3,3,4,3,3,1,2,3,5,6,3,7,7,3,4,3,5,4,5,6,6,1,4,4,2.7,2,5
76094,65,Male,United States,2,3,3,4,2,1,3,4,3,1,2,1,3,3,3,3,3,3,6,5,5,5,6,4,5,4,4,2,2,2,2.4,2,4.3
